,Area Name-Legal/Statistical Area Description,Qualifying Name,FIPS,Total Population,Urban,Urban: Inside urbanized areas,Urban: Inside urban clusters,Rural,% Urban,% Urban: Inside urbanized areas,% Urban: Inside urban clusters,% Rural,Population Density (per sq. mile),Area (Land),Area Total,Area (Land).1,Area (Water),% Area (Land),% Area (Water),Median household income In 1999 Dollars,Average household income In 1999 Dollars,Aggregate household income In 1999 Dollars,Per capita income In 1999 Dollars,Housing units,Occupied Housing Units,"Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",Occupied Housing Units: House Heating Fuel: Electricity,"Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",Occupied Housing Units: House Heating Fuel: Solar energy,Occupied Housing Units: House Heating Fuel: Other fuel,Occupied Housing Units: House Heating Fuel: No fuel used,"% Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",% Occupied Housing Units: House Heating Fuel: Electricity,"% Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","% Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",% Occupied Housing Units: House Heating Fuel: Solar energy,% Occupied Housing Units: House Heating Fuel: Other fuel,% Occupied Housing Units: House Heating Fuel: No fuel used,Average Commute to Work (in min),State,County_x,Total Emissions,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,CBSA Code,MSA,County_y
10,Hale County,"Hale County, Alabama",1065,17185,2580,0,2580,14605,15.01,0.0,15.01,84.99,26.69575,643.7355416319,656.4709,643.7355,12.73541,98.06,1.94,25807,33707,216636300,12661,7756,6415,3676,2439,34,235,0,27,4,57.3,38.02,0.53,3.66,0.0,0.42,0.06,29,AL,Hale,0.0568994251,0.0005840411,0.0178671222,0.0039699108,0.0,0.0303922712,0.0,0.0002241622,0.0005634751000000001,0.0032984426,46220,"Tuscaloosa, AL (Metropolitan Statistical Area)","Hale, AL "
11,Henry County,"Henry County, Alabama",1067,16310,0,0,0,16310,0.0,0.0,0.0,100.0,29.031879999999997,561.7961843839,568.3265,561.7962,6.530333000000001,98.85,1.15,30353,38753,253101000,15681,8037,6525,1915,4422,73,62,0,7,46,29.35,67.77,1.12,0.95,0.0,0.11,0.7,25,AL,Henry,0.067314081,0.0009670777999999999,0.0029945710999999997,0.0037199541999999998,0.0,0.0400653148,0.0,0.0044043482,0.0110711375,0.0040916775,20020,"Dothan, AL (Metropolitan Statistical Area)","Henry, AL "
12,Houston County,"Houston County, Alabama",1069,88787,57834,57834,0,30953,65.14,65.14,0.0,34.86,152.9862,580.359680431,581.6537,580.3597,1.294098,99.78,0.22,34431,46068,1652048100,18759,39571,35834,6185,29056,268,193,16,23,93,17.26,81.09,0.75,0.54,0.04,0.06,0.26,20,AL,Houston,0.22450999370000002,0.0158398331,0.0195619912,0.0202844526,0.0,0.155723472,0.0,0.0,0.0,0.013100244799999999,20020,"Dothan, AL (Metropolitan Statistical Area)","Houston, AL "
13,Jefferson County,"Jefferson County, Alabama",1073,662047,590842,577591,13251,71205,89.24,87.24,2.0,10.76,595.0411,1112.6071503034,1123.8039999999999,1112.607,11.19641,99.0,1.0,36868,51819,13641643800,20892,288162,263265,178531,83096,407,461,15,269,486,67.81,31.56,0.15,0.18,0.01,0.1,0.18,24,AL,Jefferson,7.520750420800001,0.16065794279999998,0.9217251914,0.1546533295,4.8646836175,1.108491216,0.0830614645,0.0379750638,0.0954573292,0.0940452661,13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)","Jefferson, AL "
14,Lauderdale County,"Lauderdale County, Alabama",1077,87966,42476,42476,0,45490,48.29,48.29,0.0,51.71,131.3983,669.460843834,718.7836,669.4608,49.3228,93.14,6.86,33354,44687,1614475700,18626,40424,36088,19089,16043,271,632,0,21,32,52.9,44.46,0.75,1.75,0.0,0.06,0.09,24,AL,Lauderdale,0.1815864924,0.0106186093,0.0140778946,0.0198646602,0.0,0.12303084630000001,0.0,0.0,0.0,0.013994481999999999,22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)","Lauderdale, AL "
15,Lawrence County,"Lawrence County, Alabama",1079,34803,2594,59,2535,32209,7.45,0.17,7.28,92.55,50.19308,693.382474359,718.0671,693.3824,24.68463,96.56,3.44,31549,42481,575839500,16515,15009,13538,6872,6103,217,304,0,10,32,50.76,45.08,1.6,2.25,0.0,0.07,0.24,27,AL,Lawrence,0.0869710267,0.0011953183,0.0044034953,0.0079750721,0.0,0.061490492599999995,0.0,0.0014215659,0.0035733689000000003,0.0069117135,19460,"Decatur, AL (Metropolitan Statistical Area)","Lawrence, AL "
16,Lee County,"Lee County, Alabama",1081,115092,77197,77197,0,37895,67.07,67.07,0.0,32.93,189.0752,608.7102797387,615.5532,608.7103,6.842925,98.89,1.11,30952,42461,1942637500,17158,50329,45702,19061,26131,53,305,8,5,139,41.71,57.18,0.12,0.67,0.02,0.01,0.3,21,AL,Lee,0.4161177873,0.0101195674,0.026766365,0.024027971699999998,0.16085316130000002,0.1533871255,0.0,0.0070979033,0.0178418919,0.0160238012,12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)","Lee, AL "
17,Limestone County,"Limestone County, Alabama",1083,65676,21612,3335,18277,44064,32.91,5.08,27.83,67.09,115.6167,568.0493840126001,607.0807,568.0494,39.0313,93.57,6.43,37405,46965,1158544200,17782,26897,24688,7683,16129,343,380,6,68,79,31.12,65.33,1.39,1.54,0.02,0.28,0.32,26,AL,Limestone,0.2602233513,0.0043715106,0.0134218982,0.014870257,0.0,0.1324558015,0.0,0.019829650600000002,0.0498454917,0.0254287417,26620,"Huntsville, AL (Metropolitan Statistical Area)","Limestone, AL "
18,Lowndes County,"Lowndes County, Alabama",1085,13473,0,0,0,13473,0.0,0.0,0.0,100.0,18.76628,717.9364970030999,725.0319,717.9365,7.095347,99.02,0.98,23050,34978,171569500,12457,5801,4909,3078,1589,16,220,0,0,6,62.7,32.37,0.33,4.48,0.0,0.0,0.12,36,AL,Lowndes,0.1472785448,0.00031688990000000003,0.0023601078,0.0030627588,0.0859075626,0.0525667484,0.0,0.0,0.0,0.0030644773,33860,"Montgomery, AL (Metropolitan Statistical Area)","Lowndes, AL "
19,Madison County,"Madison County, Alabama",1089,276700,213932,209918,4014,62768,77.32,75.86,1.45,22.68,343.7598,804.9224382507001,812.8501,804.9224,7.927644,99.02,0.98,44704,57220,6299120700,23091,120288,109955,38184,70244,527,730,15,84,171,34.73,63.88,0.48,0.66,0.01,0.08,0.16,21,AL,Madison,0.6844631586,0.0473910402,0.052433134400000005,0.0660036353,0.0,0.4032157202,0.0,0.021686722000000002,0.054513583399999996,0.0392193231,26620,"Huntsville, AL (Metropolitan Statistical Area)","Madison, AL "
20,Mobile County,"Mobile County, Alabama",1097,399843,321003,317605,3398,78840,80.28,79.43,0.85,19.72,324.2608,1233.090896174,1644.023,1233.0910000000001,410.9319,75.0,25.0,33710,45263,6801034700,17178,165101,150179,85335,63517,68,588,16,66,589,56.82,42.29,0.05,0.39,0.01,0.04,0.39,25,AL,Mobile,5.4006249096,0.056906155300000004,0.4914683232,0.09398298769999999,3.8867168635000002,0.5090907061,0.16786304359999998,0.0418363351,0.1051633542,0.047597140999999996,33660,"Mobile, AL (Metropolitan Statistical Area)","Mobile, AL "
21,Montgomery County,"Montgomery County, Alabama",1101,223510,196892,196892,0,26618,88.09,88.09,0.0,11.91,283.0089,789.7632143469,799.7556,789.7632,9.992397,98.75,1.25,35962,48959,4211994600,19358,95437,86068,56250,29293,53,173,0,64,235,65.36,34.03,0.06,0.2,0.0,0.07,0.27,20,AL,Montgomery,0.5707728334000001,0.041838793900000004,0.0223803454,0.0507521957,0.0,0.3713807918,0.0,0.015208219299999999,0.038228667599999995,0.0309838196,33860,"Montgomery, AL (Metropolitan Statistical Area)","Montgomery, AL "
22,Morgan County,"Morgan County, Alabama",1103,111064,62560,52256,10304,48504,56.33,47.05,9.28,43.67,190.7617,582.2134156605999,599.0582,582.2134,16.84475,97.19,2.81,37803,48609,2115248800,19223,47388,43602,17698,24719,408,630,9,34,104,40.59,56.69,0.94,1.44,0.02,0.08,0.24,23,AL,Morgan,0.6328548989,0.0198103924,0.3049065089,0.0258405506,0.0863897843,0.1744001105,0.0,0.0016419239,0.0041272771,0.015738351100000002,19460,"Decatur, AL (Metropolitan Statistical Area)","Morgan, AL "
23,Pickens County,"Pickens County, Alabama",1107,20949,0,0,0,20949,0.0,0.0,0.0,100.0,23.76738,881.418014292,890.0525,881.418,8.634491,99.03,0.97,26254,35312,286136700,13746,9520,8086,4169,3429,144,329,0,15,0,51.56,42.41,1.78,4.07,0.0,0.19,0.0,30,AL,Pickens,0.0560185211,0.0008984726,0.00318513,0.0049604119,0.0,0.0403122344,0.0,0.0009518306,0.0023926019,0.0033178396999999997,46220,"Tuscaloosa, AL (Metropolitan Statistical Area)","Pickens, AL "
24,Russell County,"Russell County, Alabama",1113,49756,31895,31895,0,17861,64.1,64.1,0.0,35.9,77.58408,641.3171705815,647.3787,641.3172,6.061577,99.06,0.94,27492,34807,686691200,14015,22831,19741,9732,9583,67,239,0,25,95,49.3,48.54,0.34,1.21,0.0,0.13,0.48,25,AL,Russell,0.15192148,0.00332076,0.040633381499999996,0.0117839574,0.0,0.09155576970000001,0.0,0.0,0.0,0.0046276113,17980,"Columbus, GA-AL (Metropolitan Statistical Area)","Russell, AL "
25,St. Clair County,"St. Clair County, Alabama",1115,64742,8136,0,8136,56606,12.57,0.0,12.57,87.43,102.1566,633.7522366899,653.6105,633.7523,19.85827,96.96,3.04,37285,47009,1132844900,17960,27303,24143,12626,10970,108,367,13,28,31,52.3,45.44,0.45,1.52,0.05,0.12,0.13,32,AL,St. Clair,0.3151580156,0.0035181385,0.0065904579,0.01502603,0.0,0.1617362903,0.1052189223,0.0038555726,0.0096916969,0.009520907299999999,13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)","St. Clair, AL "
26,Shelby County,"Shelby County, Alabama",1117,143293,91557,86024,5533,51736,63.89,60.03,3.86,36.11,180.3121,794.6943507074001,809.5259,794.6943,14.831570000000001,98.17,1.83,55440,70905,3871514500,27176,59302,54631,27773,26238,133,380,0,49,58,50.84,48.03,0.24,0.7,0.0,0.09,0.11,29,AL,Shelby,3.7811355797000004,0.0185793446,0.012057476299999998,0.0344412095,3.28332558,0.2119882355,0.1701831962,0.0022669894,0.0056984971999999995,0.042595050999999995,13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)","Shelby, AL "
27,Tuscaloosa County,"Tuscaloosa County, Alabama",1125,164875,116888,116888,0,47987,70.89,70.89,0.0,29.11,124.4931,1324.3708372394,1351.226,1324.371,26.85489,98.01,1.99,34436,47143,3041531900,18998,71429,64517,30389,33232,174,554,0,74,94,47.1,51.51,0.27,0.86,0.0,0.11,0.15,21,AL,Tuscaloosa,0.666810764,0.021997608999999998,0.2047287343,0.0379803811,0.0002133291,0.3425322753,0.0,0.009231626,0.0232053989,0.026921410299999997,46220,"Tuscaloosa, AL (Metropolitan Statistical Area)","Tuscaloosa, AL "
28,Walker County,"Walker County, Alabama",1127,70713,16251,0,16251,54462,22.98,0.0,22.98,77.02,89.01533,794.3912512336,805.2969,794.3912,10.90569,98.65,1.35,29076,38486,1090565100,15546,32417,28364,11071,16625,163,395,0,16,94,39.03,58.61,0.57,1.39,0.0,0.06,0.33,33,AL,Walker,2.2140156182,0.005711041700000001,0.0039399905,0.0168075754,2.0497698291999997,0.11688868390000001,0.0,0.0036233271999999996,0.0091079022,0.008167268,13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)","Walker, AL "
29,Anchorage Municipality,"Anchorage Municipality, Alaska",2020,260283,250020,225744,24276,10263,96.06,86.73,9.33,3.94,153.3589,1697.2149183703,1961.095,1697.215,263.88,86.54,13.46,55546,67905,6456480800,25287,100368,94822,79988,12405,939,284,9,625,572,84.36,13.08,0.99,0.3,0.01,0.66,0.6,19,AK,Anchorage,1.9293702047999999,0.3595525679,0.5718165249,0.1904910987,0.0014383026999999998,0.26205317359999997,0.0,0.0828851721,0.409221326,0.05191203900000001,11260,"Anchorage, AK (Metropolitan Statistical Area)","Anchorage Municipality, AK "
30,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",2090,82840,57635,51926,5709,25205,69.57,62.68,6.89,30.43,11.24589,7366.2441555714,7444.02,7366.244000000001,77.77568000000001,98.96,1.04,49076,58560,1743466600,21553,33291,29777,1150,2850,22851,1799,0,826,301,3.86,9.57,76.74,6.04,0.0,2.77,1.01,17,AK,Fairbanks North Star,1.1204687737999999,0.0821353215,0.3728490974,0.067059809,0.35633063020000005,0.0502078658,0.0,0.0301066494,0.1486427879,0.0131366125,21820,"Fairbanks, AK (Metropolitan Statistical Area)","Fairbanks North Star Borough, AK "
31,Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",2170,59322,21041,0,21041,38281,35.47,0.0,35.47,64.53,2.403497,24681.5397013422,25259.79,24681.54,578.2524,97.71,2.29,51221,59781,1228629700,21105,27329,20556,13172,984,4971,1323,20,65,21,64.08,4.79,24.18,6.44,0.1,0.32,0.1,41,AK,Matanuska-Susitna,0.28813560109999997,0.034183879199999996,0.0091439695,0.039710388199999995,0.0,0.0897064946,0.0,0.0181726309,0.0897220567,0.007496182,11260,"Anchorage, AK (Metropolitan Statistical Area)","Matanuska-Susitna Borough, AK "
32,Cochise County,"Cochise County, Arizona",4003,117755,78223,0,78223,39532,66.43,0.0,66.43,33.57,19.0868,6169.4479016891,6218.77,6169.448,49.321490000000004,99.21,0.79,32105,41454,1819687000,15988,51126,43893,33943,8438,55,1147,112,133,65,77.33,19.22,0.13,2.61,0.26,0.3,0.15,20,AZ,Cochise,1.2096441935,0.013136776000000001,0.0116243087,0.0256613832,0.7599376303,0.2819484607,0.0,0.028620188300000002,0.0719421316,0.0167733147,43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)","Cochise, AZ "
33,Coconino County,"Coconino County, Arizona",4005,116320,74568,57050,17518,41752,64.11,49.05,15.06,35.89,6.24791,18617.4247232034,18661.21,18617.42,43.78733,99.77,0.23,38256,48723,1967740000,17139,53443,40448,28541,5043,211,6415,50,144,44,70.56,12.47,0.52,15.86,0.12,0.36,0.11,19,AZ,Coconino,5.6321710464,0.043943357599999996,0.023178512000000002,0.0216634961,5.0658796023,0.3316778394,0.0,0.0351131795,0.0882634608,0.0224515989,22380,"Flagstaff, AZ (Metropolitan Statistical Area)","Coconino, AZ "
34,Maricopa County,"Maricopa County, Arizona",4013,3072149,2981954,2935347,46607,90195,97.06,95.55,1.52,2.94,333.8154,9203.1378678202,9224.267,9203.138,21.12847,99.77,0.23,45358,59655,67592055700,22251,1250231,1132886,341994,781476,490,1732,507,748,5939,30.19,68.98,0.04,0.15,0.04,0.07,0.52,26,AZ,Maricopa,7.4810911016,0.6897384298999999,0.2667818777,0.2592663246,0.5731111889,4.0278730376,0.0,0.3059338686,0.7690212867,0.5893650877000001,38060,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)","Maricopa, AZ "
35,Mohave County,"Mohave County, Arizona",4015,155032,116801,0,116801,38231,75.34,0.0,75.34,24.66,11.64635,13311.6410052865,13469.71,13311.64,158.0723,98.83,1.17,31521,41092,2580444200,16788,80062,62809,32621,28030,97,1678,27,125,231,51.94,44.63,0.15,2.67,0.04,0.2,0.37,21,AZ,Mohave,1.0127474306,0.022140515,0.021084267400000002,0.0247254272,0.4803825368,0.3656575968,0.0,0.015338313999999999,0.038555688399999996,0.04486308519999999,29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)","Mohave, AZ "
36,Pima County,"Pima County, Arizona",4019,843746,772583,720425,52158,71163,91.57,85.38,6.18,8.43,91.84865,9186.2651162863,9188.83,9186.265,2.565306,99.97,0.03,36758,49414,16430214900,19785,366737,332350,210309,117828,243,2202,161,273,1334,63.28,35.45,0.07,0.66,0.05,0.08,0.4,24,AZ,Pima,2.195879117,0.074104783,0.1564667258,0.1548252243,0.3152175903,1.0291964979000001,0.1242615751,0.0659230524,0.1657097702,0.1101738981,46060,"Tucson, AZ (Metropolitan Statistical Area)","Pima, AZ "
37,Pinal County,"Pinal County, Arizona",4021,179727,116228,39577,76651,63499,64.67,22.02,42.65,35.33,33.47124,5369.594632870901,5374.094,5369.595,4.499412,99.92,0.08,35856,44701,2745264100,16025,81154,61364,28486,31350,110,789,54,123,452,46.42,51.09,0.18,1.29,0.09,0.2,0.74,27,AZ,Pinal,0.9604253426999999,0.006627635400000001,0.0162937766,0.021469626600000003,0.4302760394,0.39543980759999997,0.0,0.0130022832,0.0326836382,0.044632535599999995,38060,"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)","Pinal, AZ "
38,Yavapai County,"Yavapai County, Arizona",4025,167517,105007,61909,43098,62510,62.68,36.96,25.73,37.32,20.62179,8123.3015380766,8127.781999999999,8123.302,4.480196,99.94,0.06,34901,46397,3251050000,19727,81730,70171,51635,13343,155,4400,111,338,189,73.58,19.01,0.22,6.27,0.16,0.48,0.27,22,AZ,Yavapai,0.7682306215000001,0.0157465683,0.0183846104,0.0396726628,0.0014740816000000001,0.36321237030000003,0.1377885483,0.0468029108,0.1176477615,0.027501107400000002,39140,"Prescott, AZ (Metropolitan Statistical Area)","Yavapai, AZ "
39,Yuma County,"Yuma County, Arizona",4027,160026,139091,93855,45236,20935,86.92,58.65,28.27,13.08,29.021290000000004,5514.089214313,5518.959,5514.089,4.870033,99.91,0.09,32182,42912,2313153700,14802,74140,53848,20526,31307,98,152,36,64,1665,38.12,58.14,0.18,0.28,0.07,0.12,3.09,19,AZ,Yuma,0.4780137003,0.0136380871,0.011047656999999999,0.0158577883,0.0513159392,0.2365289934,0.0,0.0350873851,0.0881986257,0.0263392246,49740,"Yuma, AZ (Metropolitan Statistical Area)","Yuma, AZ "
40,Benton County,"Benton County, Arkansas",5007,153406,90339,65394,24945,63067,58.89,42.63,16.26,41.11,181.3323,845.9939737172999,880.2415,845.9939999999999,34.24751,96.11,3.89,40281,50556,2944510500,19377,64281,58212,38926,16571,45,2483,15,107,65,66.87,28.47,0.08,4.27,0.03,0.18,0.11,19,AR,Benton,1.4901762678000001,0.04844588650000001,0.11922577179999999,0.0589173016,0.9632709426999999,0.19316663350000002,0.0,0.0223292454,0.0561286774,0.0286918089,22220,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)","Benton, AR "
41,Cleveland County,"Cleveland County, Arkansas",5025,8571,0,0,0,8571,0.0,0.0,0.0,100.0,14.33903,597.7389980185,598.8021,597.739,1.063152,99.82,0.18,32405,39835,130102100,15362,3834,3273,1869,1073,9,311,3,4,4,57.1,32.78,0.27,9.5,0.09,0.12,0.12,32,AR,Cleveland,0.0222470236,0.0002934489,0.0009472994999999999,0.0020502326999999997,0.0,0.0175020634,0.0,0.0,0.0,0.0014539792,38220,"Pine Bluff, AR (Metropolitan Statistical Area)","Cleveland, AR "
42,Craighead County,"Craighead County, Arkansas",5031,82148,53310,51804,1506,28838,64.9,63.06,1.83,35.1,115.5648,710.8395807239,712.9759,710.8396,2.13633,99.7,0.3,32425,42810,1382819600,17091,35133,32301,21788,9888,29,487,4,48,57,67.45,30.61,0.09,1.51,0.01,0.15,0.18,18,AR,Craighead,0.2632384579,0.0209117224,0.07008437719999999,0.0282020769,0.0003504693,0.10921276949999999,0.0,0.0043988047,0.0110572076,0.019021030300000002,27860,"Jonesboro, AR (Metropolitan Statistical Area)","Craighead, AR "
43,Crawford County,"Crawford County, Arkansas",5033,53247,24231,20200,4031,29016,45.51,37.94,7.57,54.49,89.43172,595.3927817426,604.1982,595.3928,8.805434,98.54,1.46,32871,40208,792308200,15015,21315,19702,11020,7342,16,1257,0,30,37,55.93,37.27,0.08,6.38,0.0,0.15,0.19,24,AR,Crawford,0.1672310818,0.0079524112,0.0381713887,0.0147302022,0.0,0.0999177661,0.0,0.0,0.0,0.0064593136,22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)","Crawford, AR "
44,Crittenden County,"Crittenden County, Arkansas",5035,50866,40752,37961,2791,10114,80.12,74.63,5.49,19.88,83.36417,610.1661752873,636.6864,610.1662,26.520229999999998,95.83,4.17,30109,39623,731444400,14424,20507,18471,11728,6518,14,108,0,78,25,63.49,35.29,0.08,0.58,0.0,0.42,0.14,23,AR,Crittenden,0.1910654141,0.0081734496,0.016460415,0.013917269599999999,0.0061652122999999994,0.1216029268,0.0,0.0027556802,0.0069269126,0.0150635479,32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)","Crittenden, AR "
45,Faulkner County,"Faulkner County, Arkansas",5045,86014,43891,0,43891,42123,51.03,0.0,51.03,48.97,132.8651,647.3784681628,664.0113,647.3785,16.632820000000002,97.5,2.5,38204,47767,1521551300,17988,34546,31882,16257,14439,44,1051,0,55,36,50.99,45.29,0.14,3.3,0.0,0.17,0.11,25,AR,Faulkner,0.2508778999,0.0175666805,0.05861564650000001,0.0200623077,0.0,0.1335400046,0.0,0.0017954839000000002,0.0045132831,0.014784493400000001,30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)","Faulkner, AR "
46,Garland County,"Garland County, Arkansas",5051,88068,56302,51741,4561,31766,63.93,58.75,5.18,36.07,130.0429,677.222671302,734.5743,677.2227,57.35168,92.19,7.81,31724,42947,1623233900,18631,44953,37813,20837,15964,29,907,1,38,37,55.11,42.22,0.08,2.4,0.0,0.1,0.1,21,AR,Garland,0.217671886,0.020685166499999998,0.0370954004,0.0253543465,0.0,0.10885279960000001,0.0,0.0039161584000000004,0.009843987700000001,0.011924027,26300,"Hot Springs, AR (Metropolitan Statistical Area)","Garland, AR "
47,Grant County,"Grant County, Arkansas",5053,16464,3765,0,3765,12699,22.87,0.0,22.87,77.13,26.059829999999998,631.7769256074,633.0103,631.7769,1.233354,99.81,0.19,37182,46229,287225000,17547,6960,6241,3907,1865,2,444,0,11,12,62.6,29.88,0.03,7.11,0.0,0.18,0.19,31,AR,Grant,0.0496014121,0.0010029182,0.011715226799999999,0.0043956857,0.0,0.026544151000000002,0.0,0.0009057285,0.0022767156,0.0027609863,30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)","Grant, AR "
48,Jefferson County,"Jefferson County, Arkansas",5069,84278,58584,58584,0,25694,69.51,69.51,0.0,30.49,95.24925,884.8153180633,913.6964,884.8153,28.881090000000004,96.84,3.16,31327,41439,1266191500,15417,34350,30555,19329,10647,19,493,11,15,41,63.26,34.85,0.06,1.61,0.04,0.05,0.13,22,AR,Jefferson,5.0114445709,0.012868384299999999,2.0675417744,0.0204761144,2.7562257333,0.1240094361,0.0,0.0043658718,0.010974424699999999,0.0149828321,38220,"Pine Bluff, AR (Metropolitan Statistical Area)","Jefferson, AR "
49,Lincoln County,"Lincoln County, Arkansas",5079,14492,0,0,0,14492,0.0,0.0,0.0,100.0,25.82316,561.2016488107,572.1676,561.2017,10.96594,98.08,1.92,29607,37161,158271600,12479,4955,4265,2597,1437,0,197,5,9,20,60.89,33.69,0.0,4.62,0.12,0.21,0.47,26,AR,Lincoln,0.034836535099999996,0.0006372618,0.0066509491,0.0027400869,0.0,0.0185677328,0.0,0.0,0.0,0.0062405045,38220,"Pine Bluff, AR (Metropolitan Statistical Area)","Lincoln, AR "
50,Little River County,"Little River County, Arkansas",5081,13628,3721,0,3721,9907,27.3,0.0,27.3,72.7,25.62937,531.7337377625,564.8705,531.7338,33.136759999999995,94.13,5.87,29417,39045,214047300,15899,6435,5465,2923,2267,0,266,0,7,2,53.49,41.48,0.0,4.87,0.0,0.13,0.04,24,AR,Little River,0.8005022321999999,0.0008324917999999999,0.6367381239,0.002869108,0.0,0.026140239300000003,0.1284152928,0.0,0.0,0.0055069762,45500,"Texarkana, TX-AR (Metropolitan Statistical Area)","Little River, AR "
51,Lonoke County,"Lonoke County, Arkansas",5085,52828,24038,14391,9647,28790,45.5,27.24,18.26,54.5,68.96961,765.9604909366001,802.4279,765.9605,36.46745,95.46,4.54,40314,47157,908107200,17397,20749,19262,9421,9004,97,680,2,39,19,48.91,46.74,0.5,3.53,0.01,0.2,0.1,28,AR,Lonoke,0.17396532969999998,0.005091097100000001,0.0182233123,0.0109634632,0.0,0.1070751516,0.0,0.0051782916,0.013016588700000001,0.0144174252,30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)","Lonoke, AR "
52,Madison County,"Madison County, Arkansas",5087,14243,0,0,0,14243,0.0,0.0,0.0,100.0,17.02052,836.8134153517,837.0637,836.8134,0.2502873,99.97,0.03,27895,37350,203821500,14736,6537,5463,3141,806,7,1488,5,9,7,57.5,14.75,0.13,27.24,0.09,0.16,0.13,33,AR,Madison,0.0383810158,0.0010209272,0.0078565022,0.0046331121000000005,0.0,0.0221921112,0.0,0.0,0.0,0.0026783631,22220,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)","Madison, AR "
53,Miller County,"Miller County, Arkansas",5091,40443,23521,23521,0,16922,58.16,58.16,0.0,41.84,64.8147,623.9787736468,637.4797,623.9788,13.500960000000001,97.88,2.12,30951,41914,657673800,16444,17727,15637,8951,6270,26,278,0,38,74,57.24,40.1,0.17,1.78,0.0,0.24,0.47,21,AR,Miller,0.1570213461,0.0045943345,0.0410309953,0.0081650439,0.0,0.0737066114,0.0,0.0062068639,0.015602098500000001,0.0077153986,45500,"Texarkana, TX-AR (Metropolitan Statistical Area)","Miller, AR "
54,Perry County,"Perry County, Arkansas",5105,10209,0,0,0,10209,0.0,0.0,0.0,100.0,18.53002,550.9437109361,560.4723,550.9437,9.528556,98.3,1.7,31083,41115,164419900,16216,4702,3989,1598,1861,2,519,0,5,4,40.06,46.65,0.05,13.01,0.0,0.13,0.1,36,AR,Perry,0.018841251599999997,0.0004717098,0.0002346522,0.0021263808,0.0,0.013949175800000001,0.0,0.0,0.0,0.002059333,30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)","Perry, AR "
55,Poinsett County,"Poinsett County, Arkansas",5111,25614,9284,0,9284,16330,36.25,0.0,36.25,63.75,33.8032,757.7388003341999,763.3864,757.7388,5.6475230000000005,99.26,0.74,26558,33353,332564300,13087,11051,10026,6981,2791,17,193,0,23,21,69.63,27.84,0.17,1.92,0.0,0.23,0.21,23,AR,Poinsett,0.1017381543,0.0021824948,0.0165820865,0.008783386899999999,0.0,0.0512580266,0.0,0.0025731727,0.0064681463,0.0138908404,27860,"Jonesboro, AR (Metropolitan Statistical Area)","Poinsett, AR "
56,Pulaski County,"Pulaski County, Arkansas",5119,361474,315796,305090,10706,45678,87.36,84.4,2.96,12.64,468.9468,770.8208563128,807.8419,770.8209,37.02107,95.42,4.58,38120,51669,7648727100,21466,161135,147942,101154,45276,67,762,65,174,444,68.37,30.6,0.05,0.52,0.04,0.12,0.3,21,AR,Pulaski,1.2974500581,0.15154602550000001,0.1633885421,0.1202878362,0.0493897987,0.6232722936,0.0,0.0370614813,0.09316087810000001,0.0593432026,30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)","Pulaski, AR "
57,Saline County,"Saline County, Arkansas",5125,83529,41937,40850,1087,41592,50.21,48.91,1.3,49.79,115.4574,723.4616253048,730.4647,723.4616,7.003032000000001,99.04,0.96,42569,50093,1593639000,19214,33825,31778,20247,10587,13,900,5,7,19,63.71,33.32,0.04,2.83,0.02,0.02,0.06,27,AR,Saline,0.1457175182,0.009879306899999999,0.0263523998,0.0227780361,0.0,0.0654972887,0.0,0.0033704086,0.0084721447,0.009367933299999999,30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)","Saline, AR "
