,Area Name-Legal/Statistical Area Description,Qualifying Name,FIPS,Total Population,Urban,Urban: Inside urbanized areas,Urban: Inside urban clusters,Rural,% Urban,% Urban: Inside urbanized areas,% Urban: Inside urban clusters,% Rural,Population Density (per sq. mile),Area (Land),Area Total,Area (Land).1,Area (Water),% Area (Land),% Area (Water),Median household income In 1999 Dollars,Average household income In 1999 Dollars,Aggregate household income In 1999 Dollars,Per capita income In 1999 Dollars,Housing units,Occupied Housing Units,"Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",Occupied Housing Units: House Heating Fuel: Electricity,"Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",Occupied Housing Units: House Heating Fuel: Solar energy,Occupied Housing Units: House Heating Fuel: Other fuel,Occupied Housing Units: House Heating Fuel: No fuel used,"% Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",% Occupied Housing Units: House Heating Fuel: Electricity,"% Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","% Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",% Occupied Housing Units: House Heating Fuel: Solar energy,% Occupied Housing Units: House Heating Fuel: Other fuel,% Occupied Housing Units: House Heating Fuel: No fuel used,Average Commute to Work (in min),State,County,Total Emissions,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
0,Autauga County,"Autauga County, Alabama",1001,43671,24101,0,24101,19570,55.19,0.0,55.19,44.81,73.27741999999999,595.9680430952,604.4465,595.9680000000001,8.478429,98.6,1.4,42013,50150,801006000,18518,17662,16003,10564,5178,24,167,5,6,59,66.01,32.36,0.15,1.04,0.03,0.04,0.37,26,AL,Autauga,0.2561666254,0.0030007112,0.0044338007,0.010148499200000001,0.1555083524,0.0747607067,0.0,0.0009758098,0.0024528793,0.0048858662
1,Baldwin County,"Baldwin County, Alabama",1003,140415,64337,1908,62429,76078,45.82,1.36,44.46,54.18,87.96021,1596.3466950426,2026.9289999999999,1596.3470000000002,430.5823,78.76,21.24,40250,52133,2885875300,20826,74285,55336,13496,40881,98,658,22,40,141,24.39,73.88,0.18,1.19,0.04,0.07,0.25,26,AL,Baldwin,0.45003126229999996,0.015348179299999999,0.0118836768,0.0319484614,0.0,0.2787089307,0.0,0.0178420967,0.044849405599999996,0.0494505117
2,Barbour County,"Barbour County, Alabama",1005,29038,8280,0,8280,20758,28.51,0.0,28.51,71.49,32.81487,884.9035841092999,904.5174,884.9036,19.61383,97.83,2.17,25101,36012,375677200,13316,12461,10409,3918,6337,16,106,0,6,26,37.64,60.88,0.15,1.02,0.0,0.06,0.25,23,AL,Barbour,0.0993703334,0.001904576,0.0085554559,0.006283526899999999,0.0,0.0571425408,0.0,0.0054689606,0.0137472403,0.006268033
3,Bibb County,"Bibb County, Alabama",1007,20826,3863,0,3863,16963,18.55,0.0,18.55,81.45,33.42723,623.0250456759,626.1619,623.025,3.136875,99.5,0.5,31420,38415,283621000,14105,8345,7421,3940,3232,41,165,0,30,13,53.09,43.55,0.55,2.22,0.0,0.4,0.18,32,AL,Bibb,0.0459450712,0.0007687700999999999,0.0016220624,0.0046143911,0.0,0.0357456931,0.0,0.00038025989999999996,0.0009558530999999999,0.0018580416
4,Blount County,"Blount County, Alabama",1009,51024,4578,0,4578,46446,8.97,0.0,8.97,91.03,79.03527,645.585174912,650.6041,645.5852,5.018892,99.23,0.77,35241,43250,828373000,16325,21158,19265,8911,9665,95,462,0,46,86,46.25,50.17,0.49,2.4,0.0,0.24,0.45,35,AL,Blount,0.11477625179999999,0.0019514106,0.0090594505,0.011162115,0.0,0.0874007285,0.0,0.0002980241,0.0007491392,0.0041553838
5,Bullock County,"Bullock County, Alabama",1011,11714,4139,0,4139,7575,35.33,0.0,35.33,64.67,18.74202,625.0126131858999,626.0563,625.0126,1.043658,99.83,0.17,20605,28427,113509900,10163,4727,3986,2544,1388,9,43,2,0,0,63.82,34.82,0.23,1.08,0.05,0.0,0.0,26,AL,Bullock,0.0313400587,0.0004824514,0.0034969835999999997,0.0026660559000000004,0.0,0.0233105743,0.0,0.0,0.0,0.0013839935
6,Butler County,"Butler County, Alabama",1013,21399,5388,0,5388,16011,25.18,0.0,25.18,74.82,27.54525,776.8672781496001,777.9222,776.8672,1.054881,99.86,0.14,24791,39158,328382100,15715,9957,8398,4812,3327,0,240,2,0,17,57.3,39.62,0.0,2.86,0.02,0.0,0.2,26,AL,Butler,0.0980097103,0.0016539789999999999,0.003211287,0.0050547642,0.0,0.0826682596,0.0,0.000530852,0.0013343941,0.0035561742999999997
7,Calhoun County,"Calhoun County, Alabama",1015,112249,77476,73344,4132,34773,69.02,65.34,3.68,30.98,184.4801,608.4613457669001,612.321,608.4614,3.8596690000000002,99.37,0.63,31768,42442,1926052700,17367,51322,45307,27113,17489,186,344,19,58,98,59.84,38.6,0.41,0.76,0.04,0.13,0.22,23,AL,Calhoun,0.4669628186,0.0125765954,0.0462808415,0.02742766,0.0,0.34709899850000003,0.0,0.0050501886999999995,0.0126945815,0.015833953
8,Chambers County,"Chambers County, Alabama",1017,36583,18374,0,18374,18209,50.23,0.0,50.23,49.77,61.26085,597.1676409312,603.1068,597.1677,5.939135,99.02,0.98,29667,37617,547149200,15147,16256,14522,8931,5135,84,339,0,10,23,61.5,35.36,0.58,2.33,0.0,0.07,0.16,22,AL,Chambers,0.0844473028,0.0024305284,0.011209058700000002,0.008560152,0.0,0.0570280163,0.0,0.0003546459,0.0008914693,0.003973432
9,Cherokee County,"Cherokee County, Alabama",1019,23988,0,0,0,23988,0.0,0.0,0.0,100.0,43.36847,553.1208082817,599.9515,553.1208,46.8307,92.19,7.81,30874,38066,369926000,15543,14025,9719,5613,3789,87,200,0,6,24,57.75,38.99,0.9,2.06,0.0,0.06,0.25,30,AL,Cherokee,0.062065659100000004,0.0008582433000000001,0.0017635325,0.0051599234,0.0,0.0447321275,0.0,0.0005794237,0.0014564887,0.0075159199
10,Chilton County,"Chilton County, Alabama",1021,39593,4765,0,4765,34828,12.03,0.0,12.03,87.97,57.05218000000001,693.9787890908999,700.7560000000001,693.9788,6.777239,99.03,0.97,32588,39407,601757500,15303,17651,15287,7880,7064,78,218,0,13,34,51.55,46.21,0.51,1.43,0.0,0.09,0.22,33,AL,Chilton,0.17252728850000001,0.00193918,0.053766503,0.008852646700000001,0.0,0.09482797679999999,0.0,0.0025684181,0.0064561943999999994,0.0041163695000000005
11,Choctaw County,"Choctaw County, Alabama",1023,15922,0,0,0,15922,0.0,0.0,0.0,100.0,17.4294,913.5139406051,920.8495,913.5139,7.335575,99.2,0.8,24749,36574,232028300,14635,7839,6363,3465,2440,16,396,7,23,16,54.46,38.35,0.25,6.22,0.11,0.36,0.25,38,AL,Choctaw,0.058373908499999995,0.0006861352,0.0199901595,0.0036486746000000004,0.0,0.028419235,0.0,0.00020612619999999998,0.0005181365,0.0049054414
12,Clarke County,"Clarke County, Alabama",1025,27867,7090,0,7090,20777,25.44,0.0,25.44,74.56,22.50287,1238.3752944029,1252.505,1238.375,14.12991,98.87,1.13,27388,37694,400989200,14581,12631,10578,6354,3757,30,269,0,6,162,60.07,35.52,0.28,2.54,0.0,0.06,1.53,26,AL,Clarke,0.0779813286,0.0020741103,0.0155397973,0.0067643328,0.0006684313,0.0451976879,0.0,0.0004339386,0.0010907846,0.006212245799999999
13,Clay County,"Clay County, Alabama",1027,14254,0,0,0,14254,0.0,0.0,0.0,100.0,23.55745,605.0739756323001,606.0018,605.0740000000001,0.927817,99.85,0.15,27885,33763,194816000,13785,6612,5765,3343,2139,16,246,0,21,0,57.99,37.1,0.28,4.27,0.0,0.36,0.0,27,AL,Clay,0.0383425553,0.0006651564999999999,0.0050366796999999994,0.0032956344,0.0,0.0258405361,0.0,0.0003179138,0.0007991373,0.0023874974
14,Cleburne County,"Cleburne County, Alabama",1029,14123,0,0,0,14123,0.0,0.0,0.0,100.0,25.21013,560.2112009785,561.0181,560.2112,0.8068816999999999,99.86,0.14,30820,37252,209209400,14762,6189,5590,3620,1698,0,240,0,12,20,64.76,30.38,0.0,4.29,0.0,0.21,0.36,30,AL,Cleburne,0.0694920413,0.0003678153,0.0030136395,0.0033975542999999998,0.0,0.0613862268,0.0,0.0,0.0,0.0013268054999999999
15,Coffee County,"Coffee County, Alabama",1031,43615,19224,0,19224,24391,44.08,0.0,44.08,55.92,64.2351,678.9901667498,680.4785,678.9902,1.488302,99.78,0.22,33664,45070,786218200,18321,19837,17421,4832,12252,121,147,0,8,61,27.74,70.33,0.69,0.84,0.0,0.05,0.35,21,AL,Coffee,0.13146227789999998,0.0036468234,0.0106465617,0.0099251012,0.0,0.0694332554,0.0,0.0088732205,0.022304477799999996,0.006632837900000001
16,Colbert County,"Colbert County, Alabama",1033,54984,29211,28823,388,25773,53.13,52.42,0.71,46.87,92.48277,594.5324101888,623.6079,594.5324,29.075490000000002,95.34,4.66,31954,42754,961454600,17533,24980,22461,12671,9156,243,322,0,36,33,56.41,40.76,1.08,1.43,0.0,0.16,0.15,24,AL,Colbert,1.9707854966999998,0.0066577271,0.035109696600000004,0.0123904971,1.7932294516999998,0.0922305805,0.0,0.0052705668,0.0132485428,0.0126484341
17,Conecuh County,"Conecuh County, Alabama",1035,14089,0,0,0,14089,0.0,0.0,0.0,100.0,16.559820000000002,850.7940453778,852.507,850.7941,1.7128900000000002,99.8,0.2,22111,31668,182882900,12964,7265,5792,2801,2700,6,267,0,0,18,48.36,46.62,0.1,4.61,0.0,0.0,0.31,26,AL,Conecuh,0.1851705401,0.0006754625999999999,0.0016364198000000001,0.00322422,0.0002844389,0.0625314382,0.0,0.0324507364,0.08157092269999999,0.0027969017
18,Coosa County,"Coosa County, Alabama",1037,12202,317,0,317,11885,2.6,0.0,2.6,97.4,18.70201,652.4433873825,666.3583,652.4434,13.914879999999998,97.91,2.09,29873,38121,178940300,14875,6142,4682,2712,1773,31,144,0,0,22,57.92,37.87,0.66,3.08,0.0,0.0,0.47,28,AL,Coosa,0.045958390599999996,0.000209283,0.008797961,0.0027570089000000003,0.0,0.0315228603,0.0,0.0,0.0,0.0026712774
19,Covington County,"Covington County, Alabama",1039,37631,10526,0,10526,27105,27.97,0.0,27.97,72.03,36.400090000000006,1033.8160145916,1043.863,1033.816,10.046619999999999,99.04,0.96,26336,36485,570601900,15365,18578,15640,7898,7421,33,221,15,1,51,50.5,47.45,0.21,1.41,0.1,0.01,0.33,24,AL,Covington,0.3720869944,0.0030025938,0.006641480799999999,0.0088433247,0.2124706102,0.0671596754,0.0,0.0193314183,0.0485930928,0.0060447986
20,Crenshaw County,"Crenshaw County, Alabama",1041,13665,0,0,0,13665,0.0,0.0,0.0,100.0,22.41706,609.5802389818,610.8754,609.5803,1.295136,99.79,0.21,26054,35313,196800200,14565,6644,5577,3283,2135,16,106,12,0,25,58.87,38.28,0.29,1.9,0.22,0.0,0.45,32,AL,Crenshaw,0.0360719858,0.0007400925,0.0009632246,0.0032032283000000003,0.0,0.0286766527,0.0,0.0,0.0,0.0024887877
21,Cullman County,"Cullman County, Alabama",1043,77483,18808,0,18808,58675,24.27,0.0,24.27,75.73,104.9297,738.4280081607001,754.8208,738.428,16.39282,97.83,2.17,32256,42165,1298519700,16922,35233,30706,12840,17004,307,499,0,15,41,41.82,55.38,1.0,1.63,0.0,0.05,0.13,28,AL,Cullman,0.2109656825,0.0064556536,0.013876263799999998,0.0178340714,0.0048716581,0.1425948701,0.0,0.0040786115,0.010252339899999999,0.0110022141
22,Dale County,"Dale County, Alabama",1045,49129,21839,2787,19052,27290,44.45,5.67,38.78,55.55,87.56245,561.073845902,562.6748,561.0739,1.600961,99.72,0.28,31998,39675,749464200,16010,21779,18878,5397,13058,82,147,0,13,181,28.59,69.17,0.43,0.78,0.0,0.07,0.96,21,AL,Dale,0.27456013690000003,0.0055607854000000005,0.0186687109,0.0115640732,1.4969999999999998e-06,0.1480133728,0.0,0.024534175800000002,0.0616711801,0.0045463418
23,Dallas County,"Dallas County, Alabama",1047,46365,24775,0,24775,21590,53.43,0.0,53.43,46.57,47.27685,980.7125716413001,993.3742,980.7126,12.66163,98.73,1.27,23370,35215,629261000,13638,20450,17841,13086,4523,46,151,8,17,10,73.35,25.35,0.26,0.85,0.04,0.1,0.06,24,AL,Dallas,0.1080725497,0.0043959356,0.011238765,0.010980336399999999,0.0,0.058179864000000005,0.0,0.0047506823,0.011941716399999998,0.00658525
24,DeKalb County,"DeKalb County, Alabama",1049,64452,7533,0,7533,56919,11.69,0.0,11.69,88.31,82.85248,777.9127810630999,778.6497,777.9128,0.7368509,99.91,0.09,30137,40103,1008491900,15818,28051,25113,13790,10076,451,678,0,90,28,54.91,40.12,1.8,2.7,0.0,0.36,0.11,24,AL,DeKalb,0.18291156449999998,0.0049359103000000005,0.0246555994,0.0139253492,0.0,0.1225152916,0.0,0.0017681762,0.0044446381,0.0106665997
25,Elmore County,"Elmore County, Alabama",1051,65874,25069,0,25069,40805,38.06,0.0,38.06,61.94,106.0336,621.255622806,657.2123,621.2556,35.95671,94.53,5.47,41243,49916,1132695500,17650,25733,22737,10664,11725,63,235,0,30,20,46.9,51.57,0.28,1.03,0.0,0.13,0.09,29,AL,Elmore,0.1486925077,0.0030909224,0.0167781832,0.014935930900000002,0.0,0.0886972237,0.0,0.0042298811,0.010632589,0.0103277774
26,Escambia County,"Escambia County, Alabama",1053,38440,14842,0,14842,23598,38.61,0.0,38.61,61.39,40.574940000000005,947.3828975269,952.9521,947.3829,5.569204,99.42,0.58,28319,37913,541287600,14396,16544,14297,4851,8938,134,333,0,7,34,33.93,62.52,0.94,2.33,0.0,0.05,0.24,25,AL,Escambia,0.31656899969999996,0.0031383290999999996,0.0748025741,0.0086415761,1.41725854857767e-05,0.0845820853,0.0,0.0400010836,0.1005501103,0.0048390687
27,Etowah County,"Etowah County, Alabama",1055,103459,62283,61709,574,41176,60.2,59.65,0.55,39.8,193.4455,534.8223574781,548.7532,534.8224,13.93079,97.46,2.54,31170,41044,1708840900,16783,45959,41615,28572,12510,114,300,0,53,66,68.66,30.06,0.27,0.72,0.0,0.13,0.16,25,AL,Etowah,0.42251991920000004,0.010792768400000001,0.0161431418,0.0243427638,0.18397722019999999,0.1685226537,0.0,0.0027990796999999997,0.0070360022,0.008906289599999999
28,Fayette County,"Fayette County, Alabama",1057,18495,3948,0,3948,14547,21.35,0.0,21.35,78.65,29.466590000000004,627.6601003557,629.3416,627.6601,1.681454,99.73,0.27,28539,35366,264507500,14439,8472,7493,4087,3180,0,211,0,12,3,54.54,42.44,0.0,2.82,0.0,0.16,0.04,28,AL,Fayette,0.050568578499999996,0.0013484354999999998,0.0035975341,0.0042614071000000005,0.0,0.0333940642,0.0,0.0016425679999999998,0.0041288967,0.002195673
29,Franklin County,"Franklin County, Alabama",1059,31223,8763,0,8763,22460,28.07,0.0,28.07,71.93,49.1202,635.644718045,646.5096,635.6447,10.8649,98.32,1.68,27177,37177,455312900,14814,13749,12259,8351,3606,63,230,0,9,0,68.12,29.42,0.51,1.88,0.0,0.07,0.0,24,AL,Franklin,0.0974004225,0.0019443821,0.0103797092,0.0069974782,0.0,0.0662900947,0.0,0.0021604601,0.0054307139,0.0041975842999999995
30,Geneva County,"Geneva County, Alabama",1061,25764,3294,171,3123,22470,12.79,0.66,12.12,87.21,44.7074,576.2804646198999,578.9036,576.2805,2.623079,99.55,0.45,26448,35554,372256700,14620,12115,10477,3260,6897,133,147,0,14,26,31.12,65.83,1.27,1.4,0.0,0.13,0.25,27,AL,Geneva,0.058763948899999995,0.0012256858,0.0027647678000000003,0.0058845673999999995,0.0,0.0403281122,0.0,0.0010633809,0.0026730053,0.0048244295000000005
31,Greene County,"Greene County, Alabama",1063,9974,0,0,0,9974,0.0,0.0,0.0,100.0,15.44285,645.8650464790001,659.934,645.8651,14.06891,97.87,2.13,19819,34624,136975400,13686,5117,3931,2582,1163,37,122,0,14,13,65.68,29.59,0.94,3.1,0.0,0.36,0.33,29,AL,Greene,1.0791042896,0.00044702129999999997,0.0006155377,0.002295445,1.0212402117000001,0.0515713499,0.0,0.0,0.0,0.002934724
32,Hale County,"Hale County, Alabama",1065,17185,2580,0,2580,14605,15.01,0.0,15.01,84.99,26.69575,643.7355416319,656.4709,643.7355,12.73541,98.06,1.94,25807,33707,216636300,12661,7756,6415,3676,2439,34,235,0,27,4,57.3,38.02,0.53,3.66,0.0,0.42,0.06,29,AL,Hale,0.0568994251,0.0005840411,0.0178671222,0.0039699108,0.0,0.0303922712,0.0,0.0002241622,0.0005634751000000001,0.0032984426
33,Henry County,"Henry County, Alabama",1067,16310,0,0,0,16310,0.0,0.0,0.0,100.0,29.031879999999997,561.7961843839,568.3265,561.7962,6.530333000000001,98.85,1.15,30353,38753,253101000,15681,8037,6525,1915,4422,73,62,0,7,46,29.35,67.77,1.12,0.95,0.0,0.11,0.7,25,AL,Henry,0.067314081,0.0009670777999999999,0.0029945710999999997,0.0037199541999999998,0.0,0.0400653148,0.0,0.0044043482,0.0110711375,0.0040916775
34,Houston County,"Houston County, Alabama",1069,88787,57834,57834,0,30953,65.14,65.14,0.0,34.86,152.9862,580.359680431,581.6537,580.3597,1.294098,99.78,0.22,34431,46068,1652048100,18759,39571,35834,6185,29056,268,193,16,23,93,17.26,81.09,0.75,0.54,0.04,0.06,0.26,20,AL,Houston,0.22450999370000002,0.0158398331,0.0195619912,0.0202844526,0.0,0.155723472,0.0,0.0,0.0,0.013100244799999999
35,Jackson County,"Jackson County, Alabama",1071,53926,12565,0,12565,41361,23.3,0.0,23.3,76.7,49.98965,1078.7432343316,1126.765,1078.743,48.02197,95.74,4.26,32020,40024,864972000,16000,24168,21615,9598,10936,318,669,0,26,68,44.4,50.59,1.47,3.1,0.0,0.12,0.31,27,AL,Jackson,3.0621472963,0.0029548740999999997,0.2298660285,0.012162688400000001,2.6907374607,0.1120336612,0.0,0.0008313756,0.0020898169,0.011471391000000001
36,Jefferson County,"Jefferson County, Alabama",1073,662047,590842,577591,13251,71205,89.24,87.24,2.0,10.76,595.0411,1112.6071503034,1123.8039999999999,1112.607,11.19641,99.0,1.0,36868,51819,13641643800,20892,288162,263265,178531,83096,407,461,15,269,486,67.81,31.56,0.15,0.18,0.01,0.1,0.18,24,AL,Jefferson,7.520750420800001,0.16065794279999998,0.9217251914,0.1546533295,4.8646836175,1.108491216,0.0830614645,0.0379750638,0.0954573292,0.0940452661
37,Lamar County,"Lamar County, Alabama",1075,15904,0,0,0,15904,0.0,0.0,0.0,100.0,26.29425,604.8470340403,605.465,604.847,0.6179743000000001,99.9,0.1,28059,35352,228061300,14435,7517,6468,3927,2246,21,201,0,32,41,60.71,34.72,0.32,3.11,0.0,0.49,0.63,24,AL,Lamar,0.0430593404,0.0007155589,0.0048513854999999995,0.0037705959,0.0,0.0312891716,0.0,0.0,0.0,0.0024326285000000002
38,Lauderdale County,"Lauderdale County, Alabama",1077,87966,42476,42476,0,45490,48.29,48.29,0.0,51.71,131.3983,669.460843834,718.7836,669.4608,49.3228,93.14,6.86,33354,44687,1614475700,18626,40424,36088,19089,16043,271,632,0,21,32,52.9,44.46,0.75,1.75,0.0,0.06,0.09,24,AL,Lauderdale,0.1815864924,0.0106186093,0.0140778946,0.0198646602,0.0,0.12303084630000001,0.0,0.0,0.0,0.013994481999999999
39,Lawrence County,"Lawrence County, Alabama",1079,34803,2594,59,2535,32209,7.45,0.17,7.28,92.55,50.19308,693.382474359,718.0671,693.3824,24.68463,96.56,3.44,31549,42481,575839500,16515,15009,13538,6872,6103,217,304,0,10,32,50.76,45.08,1.6,2.25,0.0,0.07,0.24,27,AL,Lawrence,0.0869710267,0.0011953183,0.0044034953,0.0079750721,0.0,0.061490492599999995,0.0,0.0014215659,0.0035733689000000003,0.0069117135
40,Lee County,"Lee County, Alabama",1081,115092,77197,77197,0,37895,67.07,67.07,0.0,32.93,189.0752,608.7102797387,615.5532,608.7103,6.842925,98.89,1.11,30952,42461,1942637500,17158,50329,45702,19061,26131,53,305,8,5,139,41.71,57.18,0.12,0.67,0.02,0.01,0.3,21,AL,Lee,0.4161177873,0.0101195674,0.026766365,0.024027971699999998,0.16085316130000002,0.1533871255,0.0,0.0070979033,0.0178418919,0.0160238012
41,Limestone County,"Limestone County, Alabama",1083,65676,21612,3335,18277,44064,32.91,5.08,27.83,67.09,115.6167,568.0493840126001,607.0807,568.0494,39.0313,93.57,6.43,37405,46965,1158544200,17782,26897,24688,7683,16129,343,380,6,68,79,31.12,65.33,1.39,1.54,0.02,0.28,0.32,26,AL,Limestone,0.2602233513,0.0043715106,0.0134218982,0.014870257,0.0,0.1324558015,0.0,0.019829650600000002,0.0498454917,0.0254287417
42,Lowndes County,"Lowndes County, Alabama",1085,13473,0,0,0,13473,0.0,0.0,0.0,100.0,18.76628,717.9364970030999,725.0319,717.9365,7.095347,99.02,0.98,23050,34978,171569500,12457,5801,4909,3078,1589,16,220,0,0,6,62.7,32.37,0.33,4.48,0.0,0.0,0.12,36,AL,Lowndes,0.1472785448,0.00031688990000000003,0.0023601078,0.0030627588,0.0859075626,0.0525667484,0.0,0.0,0.0,0.0030644773
43,Macon County,"Macon County, Alabama",1087,24105,12005,0,12005,12100,49.8,0.0,49.8,50.2,39.48253,610.5231931577,613.2422,610.5232,2.718979,99.56,0.44,21180,35551,316905100,13714,10627,8950,6504,2261,20,99,0,23,43,72.67,25.26,0.22,1.11,0.0,0.26,0.48,25,AL,Macon,0.0938615363,0.0027285915999999996,8.37324095387768e-05,0.0054052925,0.0,0.07600736799999999,0.0,0.0020966898,0.0052704182999999995,0.0022694437
44,Madison County,"Madison County, Alabama",1089,276700,213932,209918,4014,62768,77.32,75.86,1.45,22.68,343.7598,804.9224382507001,812.8501,804.9224,7.927644,99.02,0.98,44704,57220,6299120700,23091,120288,109955,38184,70244,527,730,15,84,171,34.73,63.88,0.48,0.66,0.01,0.08,0.16,21,AL,Madison,0.6844631586,0.0473910402,0.052433134400000005,0.0660036353,0.0,0.4032157202,0.0,0.021686722000000002,0.054513583399999996,0.0392193231
45,Marengo County,"Marengo County, Alabama",1091,22539,6576,0,6576,15963,29.18,0.0,29.18,70.82,23.06855,977.0446380447,982.8494,977.0446,5.804761,99.41,0.59,27025,38764,340660600,15308,10127,8767,4507,3888,74,278,3,0,17,51.41,44.35,0.84,3.17,0.03,0.0,0.19,25,AL,Marengo,0.2372523635,0.0015225973000000002,0.0808868347,0.0054538128,0.0,0.0426441512,0.0989545101,0.0005740685,0.0014430279,0.005773360999999999
46,Marion County,"Marion County, Alabama",1093,31214,141,0,141,31073,0.45,0.0,0.45,99.55,42.100590000000004,741.4147710336999,743.5715,741.4148,2.156788,99.71,0.29,27475,37358,473557300,15321,14416,12697,8070,4358,29,195,0,9,36,63.56,34.32,0.23,1.54,0.0,0.07,0.28,24,AL,Marion,0.1146412955,0.0022155891,0.012020153300000001,0.0071755999,0.0,0.0808911502,0.0,0.0023403910000000003,0.0058830065,0.0041154056
47,Marshall County,"Marshall County, Alabama",1095,82231,35242,0,35242,46989,42.86,0.0,42.86,57.14,145.0129,567.0597763387,623.1617,567.0598,56.101980000000005,91.0,9.0,32167,42754,1395323700,17089,36331,32547,17378,14508,188,383,0,24,66,53.39,44.58,0.58,1.18,0.0,0.07,0.2,24,AL,Marshall,0.20613792460000002,0.0081793977,0.0462507172,0.0189620153,0.0,0.1033760599,0.0,0.0037306846000000004,0.0093777608,0.0162612891
48,Mobile County,"Mobile County, Alabama",1097,399843,321003,317605,3398,78840,80.28,79.43,0.85,19.72,324.2608,1233.090896174,1644.023,1233.0910000000001,410.9319,75.0,25.0,33710,45263,6801034700,17178,165101,150179,85335,63517,68,588,16,66,589,56.82,42.29,0.05,0.39,0.01,0.04,0.39,25,AL,Mobile,5.4006249096,0.056906155300000004,0.4914683232,0.09398298769999999,3.8867168635000002,0.5090907061,0.16786304359999998,0.0418363351,0.1051633542,0.047597140999999996
49,Monroe County,"Monroe County, Alabama",1099,24324,5249,0,5249,19075,21.58,0.0,21.58,78.42,23.71096,1025.8547730722998,1034.526,1025.855,8.670924000000001,99.16,0.84,29093,38785,364657100,14862,11343,9383,3627,5411,21,294,0,25,5,38.66,57.67,0.22,3.13,0.0,0.27,0.05,23,AL,Monroe,0.07336676019999999,0.0023006234,0.0159600961,0.00563334,0.0,0.0362539979,0.0,0.0023018964,0.005786245,0.0051305614
50,Montgomery County,"Montgomery County, Alabama",1101,223510,196892,196892,0,26618,88.09,88.09,0.0,11.91,283.0089,789.7632143469,799.7556,789.7632,9.992397,98.75,1.25,35962,48959,4211994600,19358,95437,86068,56250,29293,53,173,0,64,235,65.36,34.03,0.06,0.2,0.0,0.07,0.27,20,AL,Montgomery,0.5707728334000001,0.041838793900000004,0.0223803454,0.0507521957,0.0,0.3713807918,0.0,0.015208219299999999,0.038228667599999995,0.0309838196
51,Morgan County,"Morgan County, Alabama",1103,111064,62560,52256,10304,48504,56.33,47.05,9.28,43.67,190.7617,582.2134156605999,599.0582,582.2134,16.84475,97.19,2.81,37803,48609,2115248800,19223,47388,43602,17698,24719,408,630,9,34,104,40.59,56.69,0.94,1.44,0.02,0.08,0.24,23,AL,Morgan,0.6328548989,0.0198103924,0.3049065089,0.0258405506,0.0863897843,0.1744001105,0.0,0.0016419239,0.0041272771,0.015738351100000002
52,Perry County,"Perry County, Alabama",1105,11861,0,0,0,11861,0.0,0.0,0.0,100.0,16.485429999999997,719.4837721256,724.0769,719.4838,4.5931169999999995,99.37,0.63,20200,29468,127773600,10948,5406,4333,2788,1356,22,157,0,0,10,64.34,31.29,0.51,3.62,0.0,0.0,0.23,34,AL,Perry,0.0316443146,0.0006016366,0.0022083088000000002,0.002963817,0.0,0.023122275600000002,0.0,0.0002222298,0.0005586164,0.0019674304
53,Pickens County,"Pickens County, Alabama",1107,20949,0,0,0,20949,0.0,0.0,0.0,100.0,23.76738,881.418014292,890.0525,881.418,8.634491,99.03,0.97,26254,35312,286136700,13746,9520,8086,4169,3429,144,329,0,15,0,51.56,42.41,1.78,4.07,0.0,0.19,0.0,30,AL,Pickens,0.0560185211,0.0008984726,0.00318513,0.0049604119,0.0,0.0403122344,0.0,0.0009518306,0.0023926019,0.0033178396999999997
54,Pike County,"Pike County, Alabama",1109,29605,11903,0,11903,17702,40.21,0.0,40.21,59.79,44.118520000000004,671.0334719698001,672.0952,671.0334,1.061715,99.84,0.16,25551,36526,435725700,14904,13981,11933,4728,6963,53,124,0,2,63,39.62,58.35,0.44,1.04,0.0,0.02,0.53,22,AL,Pike,0.12043140039999999,0.0025177644,0.005497456800000001,0.0066961729,0.0,0.060587930899999996,0.0,0.011472511999999999,0.0288382778,0.0048212856
55,Randolph County,"Randolph County, Alabama",1111,22380,4873,0,4873,17507,21.77,0.0,21.77,78.23,38.5168,581.0451507883,584.1085,581.0452,3.063392,99.48,0.52,28675,36247,313001100,14147,10285,8642,5613,2535,26,400,0,6,62,64.95,29.33,0.3,4.63,0.0,0.07,0.72,31,AL,Randolph,0.1028185143,0.0010726706,0.0626522905,0.0047641984,0.0,0.0302148473,0.0,0.0003345256,0.0008408916000000001,0.0029390902
56,Russell County,"Russell County, Alabama",1113,49756,31895,31895,0,17861,64.1,64.1,0.0,35.9,77.58408,641.3171705815,647.3787,641.3172,6.061577,99.06,0.94,27492,34807,686691200,14015,22831,19741,9732,9583,67,239,0,25,95,49.3,48.54,0.34,1.21,0.0,0.13,0.48,25,AL,Russell,0.15192148,0.00332076,0.040633381499999996,0.0117839574,0.0,0.09155576970000001,0.0,0.0,0.0,0.0046276113
